SIM,Es,Mss,Md,Msl,Ms,Mf,Train_Acc [%],Val_Acc [%],Train_F1 [%],Val_F1 [%]
1097,65,5,12,1,0.7,log2,98.44342388118038,96.92491396165973,97.71165547633377,95.53560030854665
1098,65,5,12,1,0.9,sqrt,98.71868327225866,97.11466728234285,98.1103267235097,95.80093653323323
1099,65,5,12,1,0.9,log2,98.6807055905633,97.07664446865462,98.05543619862311,95.74577631516048
1100,65,5,12,3,0.7,sqrt,97.96886496534098,96.62080360170562,97.02624642430116,95.09268310350137
1101,65,5,12,3,0.7,log2,97.88343094176906,96.35514895274925,96.90045388563642,94.72777681218068
1102,65,5,12,3,0.9,sqrt,98.13022733474484,96.77289485645846,97.25683083856373,95.3116424612649
1103,65,5,12,3,0.9,log2,98.17768367662146,96.84857973607693,97.32458181822444,95.42956356853871
1104,65,5,13,1,0.7,sqrt,98.48138355116991,96.96264817714159,97.7658728540975,95.58389927404217
1105,65,5,13,1,0.7,log2,98.58579740973659,96.69670492997886,97.91595235942971,95.19169345744281
1106,65,5,13,1,0.9,sqrt,98.82309262789887,97.00081528993299,98.26243954922941,95.63467228719517
1107,65,5,13,1,0.9,log2,98.75664294224815,96.92491396165973,98.16538949219242,95.52701373737791
1108,65,5,13,3,0.7,sqrt,97.95938180223327,96.39317176643746,97.00783052251684,94.7738343499952
1109,65,5,13,3,0.7,log2,97.94039746431207,96.69692137863363,96.98587992463024,95.23032394630788
1110,65,5,13,3,0.9,sqrt,98.22513551557158,96.92469751300496,97.3934248067816,95.54770051938458
1111,65,5,13,3,0.9,log2,98.09225415597597,96.81062907194031,97.20191038124156,95.35898665361987
1112,65,5,14,1,0.7,sqrt,98.65222458075505,97.0006709908298,98.01395395544638,95.6496712737564
1113,65,5,14,1,0.7,log2,98.52885790475231,96.69684922908205,97.83540136082541,95.20636636366137
1114,65,5,14,1,0.9,sqrt,98.8800276299567,97.11466728234284,98.34427020374434,95.79605884859153
1115,65,5,14,1,0.9,log2,98.85157363770715,96.96272032669319,98.30220228423757,95.58657697951881
1116,65,5,14,3,0.7,sqrt,97.90243329139608,96.77282270690688,96.9285127800876,95.32761353997753
1117,65,5,14,3,0.7,log2,97.87395678451425,96.58314153577535,96.8897722039895,95.04601843656782
1118,65,5,14,3,0.9,sqrt,98.2536120224534,96.88681899841993,97.43425958751018,95.48422465725402
1119,65,5,14,3,0.9,log2,98.14921167266606,96.88660254976516,97.28228256375674,95.46310007911048
1120,75,3,5,1,0.7,sqrt,96.60209169939543,95.78588899069992,95.12174275319435,93.99377759913166
1121,75,3,5,1,0.7,log2,96.57364221007232,95.59584707181045,95.07444174986522,93.72565175142142
1122,75,3,5,1,0.9,sqrt,96.4882171923533,95.63379773594708,94.96236547265026,93.78408408033138
1123,75,3,5,1,0.9,log2,96.49770936131394,95.32990382464772,94.96866734114361,93.34360901279297
1124,75,3,5,3,0.7,sqrt,96.43125967566321,95.36828738609391,94.88945362755071,93.42639052257364
1125,75,3,5,3,0.7,log2,96.39330450860012,95.40609375112734,94.82320402641389,93.43927747889701
1126,75,3,5,3,0.9,sqrt,96.60211421402771,95.55782425812224,95.11896634883522,93.66398648566566
1127,75,3,5,3,0.9,log2,96.2983783160676,95.02651496020952,94.6952506167116,92.95035808957473
1128,75,3,6,1,0.7,sqrt,97.15260147569906,96.39346036464383,95.88757522078183,94.84127851069421
1129,75,3,6,1,0.7,log2,97.15259246984616,95.8995966840066,95.88890320975905,94.15272464464299
1130,75,3,6,1,0.9,sqrt,97.37091235594013,96.35543755095561,96.19144949051443,94.77695561745941
1131,75,3,6,1,0.9,log2,97.20005781757564,96.24144125944257,95.95297428415608,94.63379487314715
1132,75,3,6,3,0.7,sqrt,96.96276710233981,95.59577492225885,95.61964081705896,93.70304249245879
1133,75,3,6,3,0.7,log2,97.01026847348093,95.93754734814321,95.68130761155832,94.19641589035092
